,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
55,0.0021975040435791016,4.76837158203125e-06,0.0,0.0,mae,None,None,1,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,106
56,0.004763245582580566,0.0008131265640258789,0.0,0.0,mae,None,None,1,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 18}",,,,,105
57,0.005115628242492676,8.702278137207031e-06,0.0,0.0,mae,None,None,2,2,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,104
58,0.0051604509353637695,0.0001798868179321289,0.0,0.0,mae,None,None,2,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 19}",,,,,103
59,0.005002737045288086,0.000217437744140625,0.0,0.0,mae,None,None,2,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 18}",,,,,102
60,0.0025217533111572266,0.0002300739288330078,0.0,0.0,mae,None,None,15,2,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 2}",,,,,101
61,0.0021855831146240234,8.106231689453125e-06,0.0,0.0,mae,None,None,15,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 19}",,,,,100
62,0.002834796905517578,0.0006952285766601562,0.0,0.0,mae,None,None,15,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 18}",,,,,99
63,0.00218808650970459,2.3245811462402344e-05,0.0,0.0,mae,None,auto,1,2,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,98
64,0.002947092056274414,0.0007596015930175781,0.0,0.0,mae,None,auto,1,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,97
