,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.022800127665201824,0.0007486943793197054,2.8729563554128013,0.03152584692777924,uniform,2,manhattan,70,ball_tree,"{'weights': 'uniform', 'n_neighbors': 2, 'metric': 'manhattan', 'leaf_size': 70, 'algorithm': 'ball_tree'}",0.8466097736017997,0.8600328546515719,0.8556069292085311,0.8540831858206342,0.005584867748437613,10
1,0.033679564793904625,0.0011510763128069728,0.9908173084259033,0.007806772837779697,distance,4,euclidean,80,auto,"{'weights': 'distance', 'n_neighbors': 4, 'metric': 'euclidean', 'leaf_size': 80, 'algorithm': 'auto'}",0.8920214029678503,0.900134483024035,0.8964401292473843,0.8961986717464233,0.0033165487375777986,4
2,0.04859034220377604,0.011884122692914044,1.7636687755584717,0.01836830902575878,distance,4,manhattan,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 4, 'metric': 'manhattan', 'leaf_size': 30, 'algorithm': 'kd_tree'}",0.8704487286361688,0.8820630150226594,0.8765185757021207,0.876343439786983,0.004743129523035271,7
3,0.03771185874938965,9.768588484443024e-05,1.4564603169759114,0.024464346065057457,uniform,20,euclidean,40,kd_tree,"{'weights': 'uniform', 'n_neighbors': 20, 'metric': 'euclidean', 'leaf_size': 40, 'algorithm': 'kd_tree'}",0.879611267319631,0.883594709161258,0.8818562121589874,0.8816873962132922,0.0016306085457167923,6
4,0.004248619079589844,0.00015754195055911127,3.049118916193644,0.0833411923463591,distance,18,manhattan,90,brute,"{'weights': 'distance', 'n_neighbors': 18, 'metric': 'manhattan', 'leaf_size': 90, 'algorithm': 'brute'}",0.8654798753890612,0.8733000827187489,0.8700409012180726,0.8696069531086276,0.003207298332563142,9
5,0.003100315729777018,0.0006133901171155562,2.880499760309855,0.03881516596957925,distance,12,manhattan,70,brute,"{'weights': 'distance', 'n_neighbors': 12, 'metric': 'manhattan', 'leaf_size': 70, 'algorithm': 'brute'}",0.8706552378081004,0.8797490578419395,0.8762899967212513,0.8755647641237637,0.0037477871197376506,8
6,0.023946285247802734,0.00025165289023097086,3.1541860103607178,0.11891436338781441,uniform,10,euclidean,100,ball_tree,"{'weights': 'uniform', 'n_neighbors': 10, 'metric': 'euclidean', 'leaf_size': 100, 'algorithm': 'ball_tree'}",0.888025344309438,0.8950729669418828,0.8926080930051535,0.8919021347521582,0.002920163121421598,5
7,0.028836965560913086,0.0009739547492567338,2.521588166554769,0.027395552031655033,distance,8,euclidean,30,ball_tree,"{'weights': 'distance', 'n_neighbors': 8, 'metric': 'euclidean', 'leaf_size': 30, 'algorithm': 'ball_tree'}",0.893261360684227,0.9016963132825822,0.8980063540356642,0.8976546760008244,0.003452522209850463,3
8,0.034339348475138344,0.0009064921934178947,1.1130053202311199,0.019329684624960156,distance,6,euclidean,60,auto,"{'weights': 'distance', 'n_neighbors': 6, 'metric': 'euclidean', 'leaf_size': 60, 'algorithm': 'auto'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
9,0.03771106402079264,0.0005487873787420119,0.9684678713480631,0.029200262087195016,distance,6,euclidean,40,kd_tree,"{'weights': 'distance', 'n_neighbors': 6, 'metric': 'euclidean', 'leaf_size': 40, 'algorithm': 'kd_tree'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
