,model,r2,explained_variance,neg_mean_squared_error,neg_root_mean_squared_error
0,BaggingRegressor,0.8198256430204331,0.8212750947220129,-2387380498.569676,-49025.97016769578
0,KNeighborsRegressor,0.7567666830844789,0.7531758375062387,-3267964427.812983,-57262.73380957762
