,model,r2,explained_variance,neg_mean_squared_error,neg_root_mean_squared_error
0,BaggingRegressor,0.9973270821301591,0.9974126273267854,-39601509.05639225,-6145.519699710705
0,DecisionTreeRegressor,0.9933891626392359,0.992844166110872,-116814015.2960406,-10315.813663888066
0,KNeighborsRegressor,0.8956774419752805,0.8984408316955195,-1356799664.9597664,-37400.876150168326
0,GradientBoostingRegressor,0.9982450931953455,0.9984406233860351,-20481495.3768762,-4663.001494165641
0,RandomForestRegressor,0.9973840279769036,0.9969646257188752,-37363499.048224285,-5722.982339979014
0,VotingRegressor,0.9931361476200316,0.99348225641864,-83991340.45850772,-9385.806430901392
