,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03793803850809733,0.00044294520429386664,0.9655485153198242,0.014314003179091926,auto,30,minkowski,5,uniform,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
1,0.037101189295450844,0.000980317442625701,0.9710065523783366,0.01731180966949036,auto,30,minkowski,5,distance,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
2,0.03778704007466634,0.0005957137238824938,1.0127232869466145,0.016798119255667973,auto,30,minkowski,6,uniform,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
3,0.038054307301839195,0.0006215600047122792,1.0328535238901775,0.013939113500329095,auto,30,minkowski,6,distance,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
4,0.03783535957336426,0.0006960460723436964,0.9782826900482178,0.010979462568761483,auto,30,euclidean,5,uniform,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
5,0.037933905919392906,0.00045209696576730394,0.9727332592010498,0.015734998521904593,auto,30,euclidean,5,distance,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
6,0.03779705365498861,0.00030261603678456695,1.02828049659729,0.011870958294393255,auto,30,euclidean,6,uniform,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
7,0.03772878646850586,0.0005548786982684596,1.0272781054178874,0.02005526334131022,auto,30,euclidean,6,distance,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
8,0.03804151217142741,0.0003879083389039167,0.9716675281524658,0.00906419147184749,auto,40,minkowski,5,uniform,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
9,0.03808927536010742,0.0005381405741403788,0.9880855083465576,0.008757041997408496,auto,40,minkowski,5,distance,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
10,0.03848870595296224,0.0005115863601632742,1.017855167388916,0.012145605020893088,auto,40,minkowski,6,uniform,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
11,0.03831036885579427,0.0008627919249545572,1.0241373380025227,0.02794188215835041,auto,40,minkowski,6,distance,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
12,0.03856865564982096,0.000799665660769692,0.9703216552734375,0.018211919769995418,auto,40,euclidean,5,uniform,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
13,0.03803626696268717,9.680114024644642e-05,0.9672770500183105,0.013891540315711761,auto,40,euclidean,5,distance,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
14,0.03808840115865072,0.0003974304620972685,1.0287368297576904,0.013728337670481492,auto,40,euclidean,6,uniform,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
15,0.037905613581339516,0.00039169496755855893,1.0363554954528809,0.010121417019506234,auto,40,euclidean,6,distance,"{'algorithm': 'auto', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
