,model,r2,explained_variance,neg_mean_squared_error,neg_root_mean_squared_error
0,GradientBoostingRegressor,0.9945556734935532,0.9943318098399325,-72486169.78606698,-8314.37214485701
0,MLPRegressor,-1.354777237604804,0.3575073574989457,-32073546775.849068,-180049.313098986
