,model,r2,explained_variance,neg_mean_squared_error,neg_root_mean_squared_error
0,BaggingRegressor,0.8198256430204331,0.8212750947220129,-2387380498.569676,-49025.97016769578
0,KNeighborsRegressor,0.7567666830844789,0.7531758375062387,-3267964427.812983,-57262.73380957762
0,GradientBoostingRegressor,0.8319078493507163,0.8325583440173688,-2257965795.5576196,-47434.90226729496
0,RandomForestRegressor,0.821440430039725,0.8197598790650972,-2415681311.899731,-49054.53134410065
0,VotingRegressor,0.8246474933839388,0.8242675574168831,-2331364392.4856625,-48530.45842017966
