,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,11.256298780441284,0.44701965025684914,0.0020658175150553384,0.00030772935981592594,16,13,auto,,mae,"{'min_samples_split': 16, 'min_samples_leaf': 13, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",0.976787618735815,0.9872454218012693,0.9834478929693856,0.9824936445021567,0.004322372330242037,3
1,3.6521334648132324,0.03344392284663299,0.002511898676554362,2.055045834997574e-05,22,5,sqrt,90,mae,"{'min_samples_split': 22, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 90, 'criterion': 'mae'}",0.8598260393368183,0.79273548354422,0.8390285719030821,0.8305300315947068,0.028041095552417926,4
2,0.06484667460123698,0.0014690873875525083,0.0024573802947998047,9.875077660072886e-05,7,2,sqrt,20,friedman_mse,"{'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'friedman_mse'}",0.8192081781518361,0.8131425360572181,0.824350275646856,0.81890032995197,0.004580715705571565,6
3,0.049684604008992515,0.0018003502598847544,0.0019444624582926433,3.4623179293937627e-06,20,18,log2,110,friedman_mse,"{'min_samples_split': 20, 'min_samples_leaf': 18, 'max_features': 'log2', 'max_depth': 110, 'criterion': 'friedman_mse'}",0.8419123980128732,0.7936608591282676,0.809371635903483,0.8149816310148745,0.020094058575368834,7
4,3.6417547861735025,0.06771561519018665,0.0020246505737304688,4.643595859962289e-05,7,16,log2,90,mae,"{'min_samples_split': 7, 'min_samples_leaf': 16, 'max_features': 'log2', 'max_depth': 90, 'criterion': 'mae'}",0.8027739478372833,0.8075815297085133,0.8280056204853112,0.8127870326770359,0.010938685844920132,8
5,0.05165219306945801,0.00030327186892420004,0.0019942919413248696,2.9824460602075972e-05,23,13,sqrt,,friedman_mse,"{'min_samples_split': 23, 'min_samples_leaf': 13, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'friedman_mse'}",0.8335395039712004,0.7651439778652112,0.7976586104655465,0.7987806974339859,0.027933627371590667,10
6,0.059581756591796875,0.0009376834089830685,0.002186457316080729,5.010207589276256e-05,16,2,sqrt,50,friedman_mse,"{'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'friedman_mse'}",0.8068048394666913,0.8159737978999394,0.8097839316046207,0.8108541896570838,0.0038189474040023347,9
7,10.141509135564169,0.5446577615259092,0.0016996065775553386,2.9506379566849497e-05,19,2,auto,100,mae,"{'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 100, 'criterion': 'mae'}",0.9852018717598394,0.9894986435282449,0.9887145191352026,0.9878050114744289,0.0018683263537537219,1
8,0.05493537584940592,0.0008580092808973919,0.002294778823852539,0.00024214854786094574,2,9,sqrt,50,mse,"{'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'mse'}",0.8216048645727672,0.845484028926976,0.8114044142422249,0.8261644359139894,0.014281626946933093,5
9,0.18661038080851236,0.0014011500163041426,0.002217372258504232,0.00024362368522209605,18,15,auto,60,mse,"{'min_samples_split': 18, 'min_samples_leaf': 15, 'max_features': 'auto', 'max_depth': 60, 'criterion': 'mse'}",0.9866964448417597,0.9879351186794935,0.9867927896930458,0.987141451071433,0.0005625843857625036,2
